# Relative Spectral Response per photon; Wright et al. 2010
# W2     RSR     uncertainty (parts per thousand)
Angstrom Fraction
33600 8.458666666666667e-13
33700 7.426666666666668e-13
33800 1.2672e-12
33900 9.274666666666666e-13
34000 1.3586666666666667e-12
34100 1.1502666666666667e-12
34200 1.5986666666666667e-12
34300 1.8039999999999998e-08
34400 1.8e-08
34500 6.069333333333333e-08
34600 8.457333333333334e-08
34700 1.1670666666666667e-07
34800 9.677333333333334e-08
34900 5.749333333333333e-07
35000 1.4266666666666667e-07
35100 1.8506666666666666e-07
35200 1.664e-07
35300 1.808e-07
35400 1.568e-07
35500 2.7e-07
35600 4.284e-07
35700 2.6799999999999998e-06
35800 7.444e-07
35900 1.0965333333333332e-06
36000 8.749333333333333e-07
36100 1.5106666666666666e-06
36200 1.56e-06
36300 1.8280000000000001e-06
36400 1.4226666666666665e-06
36500 1.4266666666666666e-06
36600 9.184e-07
36700 1.5893333333333334e-06
36800 5.597333333333333e-10
36900 1.5306666666666667e-08
37000 1.516e-08
37100 1.9173333333333335e-08
37200 3.564e-08
37300 4.492e-08
37400 6.278666666666666e-08
37500 1.56e-07
37600 1.1532e-07
37700 1.6533333333333333e-07
37800 4.04e-07
37900 4.777333333333334e-07
38000 1.7319999999999999e-06
38100 2.812e-06
38200 4.742666666666667e-06
38300 6.226666666666667e-06
38400 9.284e-06
38500 1.546666666666667e-05
38600 2.444e-05
38700 2.84e-05
38800 6.078666666666667e-05
38900 0.00012988
39000 0.00018493333333333335
39100 0.0002666666666666667
39200 0.0004970666666666666
39300 0.0006749333333333334
39400 0.0005225333333333333
39500 0.0015506666666666666
39600 0.010917333333333334
39700 0.013493333333333335
39800 0.017013333333333335
39900 0.02184
40000 0.028493333333333332
40100 0.04006666666666667
40200 0.058693333333333327
40300 0.08689333333333334
40400 0.12708
40500 0.1809333333333333
40600 0.2582666666666667
40700 0.35146666666666665
40800 0.45426666666666665
40900 0.5636
41000 0.6704
41100 0.7638666666666666
41200 0.84
41300 0.9013333333333334
41400 0.9453333333333332
41500 0.9706666666666667
41600 0.988
41700 0.9973333333333333
41800 1.0
41900 0.9973333333333333
42000 0.9933333333333333
42100 0.9853333333333333
42200 0.976
42300 0.9666666666666667
42400 0.9653333333333333
42500 0.9666666666666667
42600 0.9653333333333333
42700 0.96
42800 0.9573333333333333
42900 0.9586666666666667
43000 0.964
43100 0.9693333333333333
43200 0.9746666666666667
43300 0.9773333333333333
43400 0.9786666666666667
43500 0.9773333333333333
43600 0.972
43700 0.9666666666666667
43800 0.9586666666666667
43900 0.948
44000 0.9386666666666666
44100 0.9306666666666666
44200 0.9226666666666666
44300 0.9173333333333332
44400 0.9106666666666667
44500 0.9066666666666667
44600 0.9053333333333334
44700 0.908
44800 0.9146666666666667
44900 0.9239999999999999
45000 0.9346666666666666
45100 0.948
45200 0.9586666666666667
45300 0.9706666666666667
45400 0.98
45500 0.9866666666666667
45600 0.992
45700 0.9946666666666667
45800 0.996
45900 0.9933333333333333
46000 0.9893333333333333
46100 0.984
46200 0.976
46300 0.968
46400 0.9586666666666667
46500 0.9493333333333333
46600 0.94
46700 0.9346666666666666
46800 0.9293333333333332
46900 0.9266666666666666
47000 0.9239999999999999
47100 0.9253333333333332
47200 0.9279999999999999
47300 0.9319999999999999
47400 0.94
47500 0.9453333333333332
47600 0.9533333333333333
47700 0.9586666666666667
47800 0.9626666666666667
47900 0.9626666666666667
48000 0.9626666666666667
48100 0.96
48200 0.9573333333333333
48300 0.956
48400 0.9533333333333333
48500 0.952
48600 0.9506666666666667
48700 0.9493333333333333
48800 0.9493333333333333
48900 0.9493333333333333
49000 0.9493333333333333
49100 0.948
49200 0.948
49300 0.9466666666666667
49400 0.944
49500 0.94
49600 0.9359999999999999
49700 0.9306666666666666
49800 0.9239999999999999
49900 0.9173333333333332
50000 0.9066666666666667
50100 0.8973333333333334
50200 0.8853333333333334
50300 0.8733333333333334
50400 0.8613333333333334
50500 0.8493333333333334
50600 0.8373333333333334
50700 0.8253333333333334
50800 0.8146666666666667
50900 0.8039999999999999
51000 0.7933333333333333
51100 0.7799999999999999
51200 0.7666666666666666
51300 0.7466666666666667
51400 0.7253333333333334
51500 0.6920000000000001
51600 0.6573333333333333
51700 0.6106666666666667
51800 0.5586666666666666
51900 0.5
52000 0.4358666666666667
52100 0.3732
